Filename,Unripe,Almost,Ripe,Overripe
1_4.jpg,FALSE,FALSE,TRUE,FALSE
2_4.jpg,FALSE,FALSE,TRUE,FALSE
3_4.jpg,FALSE,FALSE,TRUE,FALSE
4_4.jpg,TRUE,FALSE,FALSE,FALSE
5_4.jpg,TRUE,FALSE,FALSE,FALSE
6_4.jpg,TRUE,FALSE,FALSE,FALSE
7_4.jpg,FALSE,FALSE,TRUE,FALSE
8_4.jpg,FALSE,FALSE,TRUE,FALSE
9_4.jpg,FALSE,FALSE,TRUE,FALSE
10_4.jpg,FALSE,TRUE,FALSE,FALSE
11_4.jpg,FALSE,TRUE,FALSE,FALSE
12_4.jpg,FALSE,TRUE,FALSE,FALSE
13_4.jpg,FALSE,TRUE,FALSE,FALSE
14_4.jpg,FALSE,TRUE,FALSE,FALSE
15_4.jpg,FALSE,TRUE,FALSE,FALSE
16_4.jpg,FALSE,TRUE,FALSE,FALSE
17_4.jpg,FALSE,TRUE,FALSE,FALSE
18_4.jpg,FALSE,TRUE,FALSE,FALSE
19_4.jpg,FALSE,TRUE,FALSE,FALSE
20_4.jpg,FALSE,TRUE,FALSE,FALSE
21_4.jpg,FALSE,TRUE,FALSE,FALSE
22_4.jpg,FALSE,TRUE,FALSE,FALSE
23_4.jpg,FALSE,TRUE,FALSE,FALSE
24_4.jpg,FALSE,TRUE,FALSE,FALSE
25_4.jpg,FALSE,TRUE,FALSE,FALSE
26_4.jpg,FALSE,TRUE,FALSE,FALSE
27_4.jpg,FALSE,TRUE,FALSE,FALSE
28_4.jpg,FALSE,TRUE,FALSE,FALSE
29_4.jpg,FALSE,TRUE,FALSE,FALSE
30_4.jpg,FALSE,TRUE,FALSE,FALSE
31_4.jpg,TRUE,FALSE,FALSE,FALSE
32_4.jpg,TRUE,FALSE,FALSE,FALSE
33_4.jpg,TRUE,FALSE,FALSE,FALSE
34_4.jpg,FALSE,TRUE,FALSE,FALSE
35_4.jpg,FALSE,TRUE,FALSE,FALSE
36_4.jpg,FALSE,TRUE,FALSE,FALSE
37_4.jpg,TRUE,FALSE,FALSE,FALSE
38_4.jpg,TRUE,FALSE,FALSE,FALSE
39_4.jpg,TRUE,FALSE,FALSE,FALSE
40_4.jpg,TRUE,FALSE,FALSE,FALSE
41_4.jpg,TRUE,FALSE,FALSE,FALSE
42_4.jpg,TRUE,FALSE,FALSE,FALSE
43_4.jpg,TRUE,FALSE,FALSE,FALSE
44_4.jpg,TRUE,FALSE,FALSE,FALSE
45_4.jpg,TRUE,FALSE,FALSE,FALSE
46_4.jpg,FALSE,TRUE,FALSE,FALSE
47_4.jpg,FALSE,TRUE,FALSE,FALSE
48_4.jpg,FALSE,TRUE,FALSE,FALSE
49_4.jpg,FALSE,TRUE,FALSE,FALSE
50_4.jpg,FALSE,TRUE,FALSE,FALSE
51_4.jpg,FALSE,TRUE,FALSE,FALSE
52_4.jpg,FALSE,TRUE,FALSE,FALSE
53_4.jpg,FALSE,TRUE,FALSE,FALSE
54_4.jpg,FALSE,TRUE,FALSE,FALSE
55_4.jpg,TRUE,FALSE,FALSE,FALSE
56_4.jpg,TRUE,FALSE,FALSE,FALSE
57_4.jpg,TRUE,FALSE,FALSE,FALSE
58_4.jpg,TRUE,FALSE,FALSE,FALSE
59_4.jpg,TRUE,FALSE,FALSE,FALSE
60_4.jpg,TRUE,FALSE,FALSE,FALSE
61_4.jpg,FALSE,FALSE,TRUE,FALSE
62_4.jpg,FALSE,FALSE,TRUE,FALSE
63_4.jpg,FALSE,FALSE,TRUE,FALSE
64_4.jpg,TRUE,FALSE,FALSE,FALSE
65_4.jpg,TRUE,FALSE,FALSE,FALSE
66_4.jpg,TRUE,FALSE,FALSE,FALSE
67_4.jpg,FALSE,TRUE,FALSE,FALSE
68_4.jpg,FALSE,TRUE,FALSE,FALSE
69_4.jpg,FALSE,TRUE,FALSE,FALSE
70_4.jpg,FALSE,FALSE,TRUE,FALSE
71_4.jpg,FALSE,FALSE,TRUE,FALSE
72_4.jpg,FALSE,FALSE,TRUE,FALSE
73_4.jpg,TRUE,FALSE,FALSE,FALSE
74_4.jpg,TRUE,FALSE,FALSE,FALSE
75_4.jpg,TRUE,FALSE,FALSE,FALSE
76_4.jpg,TRUE,FALSE,FALSE,FALSE
77_4.jpg,TRUE,FALSE,FALSE,FALSE
78_4.jpg,TRUE,FALSE,FALSE,FALSE
79_4.jpg,TRUE,FALSE,FALSE,FALSE
80_4.jpg,TRUE,FALSE,FALSE,FALSE
81_4.jpg,TRUE,FALSE,FALSE,FALSE
82_4.jpg,TRUE,FALSE,FALSE,FALSE
83_4.jpg,TRUE,FALSE,FALSE,FALSE
84_4.jpg,TRUE,FALSE,FALSE,FALSE
85_4.jpg,TRUE,FALSE,FALSE,FALSE
86_4.jpg,TRUE,FALSE,FALSE,FALSE
87_4.jpg,TRUE,FALSE,FALSE,FALSE
88_4.jpg,TRUE,FALSE,FALSE,FALSE
89_4.jpg,TRUE,FALSE,FALSE,FALSE
90_4.jpg,TRUE,FALSE,FALSE,FALSE
91_4.jpg,FALSE,FALSE,TRUE,FALSE
92_4.jpg,FALSE,FALSE,TRUE,FALSE
93_4.jpg,FALSE,FALSE,TRUE,FALSE
94_4.jpg,TRUE,FALSE,FALSE,FALSE
95_4.jpg,TRUE,FALSE,FALSE,FALSE
96_4.jpg,TRUE,FALSE,FALSE,FALSE
97_4.jpg,TRUE,FALSE,FALSE,FALSE
98_4.jpg,TRUE,FALSE,FALSE,FALSE
99_4.jpg,TRUE,FALSE,FALSE,FALSE
100_4.jpg,FALSE,FALSE,TRUE,FALSE
101_4.jpg,FALSE,FALSE,TRUE,FALSE
102_4.jpg,FALSE,FALSE,TRUE,FALSE
103_4.jpg,FALSE,TRUE,FALSE,FALSE
104_4.jpg,FALSE,TRUE,FALSE,FALSE
105_4.jpg,FALSE,TRUE,FALSE,FALSE
106_4.jpg,TRUE,FALSE,FALSE,FALSE
107_4.jpg,TRUE,FALSE,FALSE,FALSE
108_4.jpg,TRUE,FALSE,FALSE,FALSE
109_4.jpg,TRUE,FALSE,FALSE,FALSE
110_4.jpg,TRUE,FALSE,FALSE,FALSE
111_4.jpg,TRUE,FALSE,FALSE,FALSE
112_4.jpg,TRUE,FALSE,FALSE,FALSE
113_4.jpg,TRUE,FALSE,FALSE,FALSE
114_4.jpg,TRUE,FALSE,FALSE,FALSE
115_4.jpg,FALSE,TRUE,FALSE,FALSE
116_4.jpg,FALSE,TRUE,FALSE,FALSE
117_4.jpg,FALSE,TRUE,FALSE,FALSE
118_4.jpg,FALSE,TRUE,FALSE,FALSE
119_4.jpg,FALSE,TRUE,FALSE,FALSE
120_4.jpg,FALSE,TRUE,FALSE,FALSE
121_4.jpg,TRUE,FALSE,FALSE,FALSE
122_4.jpg,TRUE,FALSE,FALSE,FALSE
123_4.jpg,TRUE,FALSE,FALSE,FALSE
124_4.jpg,TRUE,FALSE,FALSE,FALSE
125_4.jpg,TRUE,FALSE,FALSE,FALSE
126_4.jpg,TRUE,FALSE,FALSE,FALSE
127_4.jpg,FALSE,TRUE,FALSE,FALSE
128_4.jpg,FALSE,TRUE,FALSE,FALSE
129_4.jpg,FALSE,TRUE,FALSE,FALSE
130_4.jpg,TRUE,FALSE,FALSE,FALSE
131_4.jpg,TRUE,FALSE,FALSE,FALSE
132_4.jpg,TRUE,FALSE,FALSE,FALSE
133_4.jpg,FALSE,FALSE,TRUE,FALSE
134_4.jpg,FALSE,FALSE,TRUE,FALSE
135_4.jpg,FALSE,FALSE,TRUE,FALSE
